MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1535,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",Death Note,‹Äà‹â_‹Ä_‹Ä_‹Äö,TV,37,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity),60,1,2589552,145201,122401,2146116,75054,80834,165147,557406,535252,415890,201522,68577,28048,10462,3692,2256,3586
16498,Shingeki no Kyojin,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",Attack on Titan,Û_¾ÕÄ‹¨Œá¬Š¼¼,TV,25,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity),115,2,2531397,129844,140753,2182587,37345,44635,126077,470882,514879,459113,220228,70768,31141,11805,4637,2707,4939
5114,Fullmetal Alchemist: Brotherhood,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",Fullmetal Alchemist:Brotherhood,Ü_‹¨ÎÂàÔÁÒŒüÇ FULLMETAL ALCHEMIST,TV,64,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity),1,3,2248456,183914,171871,1644938,75728,32456,323463,714811,401507,199160,70045,20210,9308,3222,1536,2162,16806
11757,Sword Art Online,7.25,"Action, Game, Adventure, Romance, Fantasy",Sword Art Online,‹â_‹Ä_‹Ää‹â¢‹Ä_‹Äö‹ÄÈ‹â»‹Ä_‹Ä©‹â_‹Ä_,TV,25,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,"Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2584,4,2214395,66342,80304,1907261,25632,90661,110537,241049,236672,305386,303813,188431,124819,81155,44204,25371,23472
30276,One Punch Man,8.57,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",One Punch Man,‹Äø‹Ä_‹ÄÔ‹Ä_‹Ä_‹Ä_,TV,12,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,24 min. per ep.,R - 17+ (violence & profanity),81,5,2123866,54435,96568,1841220,30271,26755,129052,360187,465041,403832,172181,47365,17873,5706,2279,1448,2733
31964,Boku no Hero Academia,8.11,"Action, Comedy, School, Shounen, Super Power",My Hero Academia,ŒÄ¥‹¨‹ÄÕ‹Ä_‹Ä_‹Ä_‹â¢‹âÇ‹Äà‹ÄÙ‹â¢,TV,13,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",Funimation,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,400,6,1909814,50005,90902,1655900,18092,19212,125708,192539,318675,414913,253871,77961,29893,9015,3664,1807,3129
22319,Tokyo Ghoul,7.81,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",Tokyo Ghoul,¾±Š¼ÂŒĞ¡¬¨-‹Äö‹Ä_‹â_‹Ä¤‹Ä_‹â¡‹Ä_‹ÄÇ-,TV,12,"Jul 4, 2014 to Sep 19, 2014",Summer 2014,"Marvelous AQL, TC Entertainment, Shueisha",Funimation,Studio Pierrot,Manga,24 min. per ep.,R - 17+ (violence & profanity),807,7,1895488,45519,74612,1594880,24334,38668,162994,190342,250814,348603,261579,112177,51649,24805,10284,5144,4794
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,‹Ä_‹ÄÇ‹Äö,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660,8,1830540,65586,137167,1462223,61734,99806,69610,216866,234481,345563,286175,108155,46886,15477,6098,3582,5310
9253,Steins;Gate,9.11,"Thriller, Sci-Fi",Steins;Gate,STEINS;GATE,TV,24,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,3,9,1771162,148452,114349,1134756,60926,35600,425531,468504,275960,140914,57740,21375,11126,5061,2292,1678,5255
19815,No Game No Life,8.2,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy","No Game, No Life",‹Ä_‹Ä_‹â_‹Ä_‹ÄÊ‹ÄÈ‹Ä_‹Ä_‹Ä©‹â_‹Ä¥,TV,12,"Apr 9, 2014 to Jun 25, 2014",Spring 2014,"Frontier Works, Media Factory, Movic, AT-X",Sentai Filmworks,Madhouse,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,304,10,1751054,45990,66938,1426896,27663,37820,191737,227827,285623,309230,186864,70141,30284,14345,6228,3313,3521
32281,Kimi no Na wa.,8.96,"Romance, Supernatural, School, Drama",Your Name.,Œİ‹¨Œ‹ø‹Ûâ,Movie,1,26-Aug-16,Unknown,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,1 hr. 46 min.,PG-13 - Teens 13 or older,16,11,1726660,71054,40773,1462143,4746,2463,216535,516874,333022,200239,86314,29641,12257,5199,2131,1116,3966
11061,Hunter x Hunter (2011),9.1,"Action, Adventure, Fantasy, Shounen, Super Power",Hunter x Hunter,HUNTERÌÑHUNTER•_ö‹Ä‹Ä_‹âÀ‹Ä_ÌÑ‹Ä‹Ä_‹âÀ‹Ä_•_ä,TV,148,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6,12,1673924,147274,227277,1094486,79587,31652,240922,454000,304741,167331,65085,18241,7789,2780,1243,1054,4602
33486,Boku no Hero Academia 2nd Season,8.33,"Action, Comedy, Super Power, School, Shounen",My Hero Academia 2,ŒÄ¥‹¨‹ÄÕ‹Ä_‹Ä_‹Ä_‹â¢‹âÇ‹Äà‹ÄÙ‹â¢,TV,25,"Apr 1, 2017 to Sep 30, 2017",Spring 2017,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Funimation,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,203,13,1611771,18930,110626,1389299,15522,11065,85259,188165,322936,347893,166839,46700,16556,4760,1849,948,2065
1575,Code Geass: Hangyaku no Lelouch,8.72,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",Code Geass:Lelouch of the Rebellion,‹â_‹Ä_‹Ää‹â¨‹â¢‹â_ ŒÛ ‹¨‹ÄÇ‹ÄÇ‹Ä_‹âá‹Ä´,TV,25,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),39,14,1583882,90487,69924,1209288,40874,30864,232932,326710,309688,213516,93305,31697,14686,7065,3100,1630,2621
